ou,value,dx_name,pe_name,ou_name
eJfBtjef8cQ,6,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-08,an Basic Health Centre Onitsha
e2t30fu3vAw,5,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-02,an All Hallows Hospital and Maternity
yjxtvOYtp5A,20,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-02,an Ukpor General Hospital
IA64rosyhK1,12,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an Enugu Ukwu General Hospital
d6ugp5puEZ2,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-08,an Nteje Primary Health Centre
QS61X8Xc1Tg,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-06,an His Grace Maternity
MUq9oPoC0hr,5,GF_Number of Individuals Who Received HIV Testing Services (HTS) and Received Their Test Results - Other PITC,2025-10-07,an Ukpo Comprehensive Health Centre
BkHB5iIj0jE,2,GF_Number of People Tested HIV Positive & Received Results - CT,2025-10-01,an Eziaguluotu Primary Health Centre
MsWUEiTxyht,5,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Ogbunike Primary Health Centre
yjxtvOYtp5A,20,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-06,an Ukpor General Hospital
ZSSbDRTZ6CX,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-01,an St. Patricks Hospital and Maternity
P9qUQA6KmAs,35,GF_Number of AGYW counseled tested and received result- Community,2025-10-08,an Holy Rosary Hospital
HgxxN5GZv8Y,68,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - Blood Bank,2025-10-08,"an Rex Inversorium Hospital, Mmiata (Referral Health center Oroma-Etiti)"
FfgZ5ufqf7n,3,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-07,an Ebenesi Nnobi Primary Health Centre
wM3b4l8Oesq,9,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-09,an Onitsha General Hospital
QS61X8Xc1Tg,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-02,an His Grace Maternity
MUq9oPoC0hr,5,GF_Number of Individuals Who Received HIV Testing Services (HTS) and Received Their Test Results - Other PITC,2025-10-03,an Ukpo Comprehensive Health Centre
sJDswuZ8Kqi,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-06,an Umuoji Basic Health Clinic
hkgcJhWm5cK,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-08,an Accucare Foundation Hospital
ZSSbDRTZ6CX,7,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an St. Patricks Hospital and Maternity
ySBhaLN97hO,3,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-06,an St. Raphael Hospital Nkwelle Ezunaka
XVGyolmAns4,6,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Azigbo Primary Health Centre
IEKVnEePZLN,1,GF_Number of Individuals Who Received HIV Testing Services (HTS) and Received Their Test Results - Other PITC,2025-10-01,an Iyi-Enu Hospital
P9qUQA6KmAs,4,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - In-Patient,2025-10-07,an Holy Rosary Hospital
FfgZ5ufqf7n,3,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Ebenesi Nnobi Primary Health Centre
k4Nw4uCT97V,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Umunya Comprehensive Health Centre
QqXS3kwHLkP,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Ifite Awkuzu Primary Health Centre
S3gtlMZ4sYV,17,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Eziama Primary Health Centre
Z58LnooMrl1,10,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-01,an Nnobi General Hospital
MUumX5cjk9g,1,GF_Number of People Tested HIV Positive & Received Results - TB,2025-10-02,an Umunze Immaculate Heart Hospital
Oua590tZ4Vd,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Okija Central Primary Health Centre
S3jUrQJhdKZ,3,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Ogechukwu Maternity
YDYCfFc8ndK,6,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-02,an Pater Noster Hospital Awka
YDYCfFc8ndK,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-01,an Pater Noster Hospital Awka
oZWwkGsF8WV,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Ifitedunu General Hospital
pxYOOPUXmtt,3,GF_Number of Individuals Who Received HIV Testing Services (HTS) and Received Their Test Results - Other PITC,2025-10-02,an Obosi St Martin's Hospital
beBpDqUQJMn,3,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Chidiebere Maternity
zkRGuZW2iEs,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Holy Family Hospital/Maternity
OoBxXYn1eoy,61,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - In-Patient,2025-10-03,an Nnamdi Azikiwe University Teaching Hospital
ZSSbDRTZ6CX,3,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-01,an St. Patricks Hospital and Maternity
XG0hzB6FVrw,3,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-07,an Eldorado Multispecialist Hospital
Ha1Uxfwnmwq,8,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Rock Foundation Hospital
Sya1xqHhCCO,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an Our Lady of Lourdes Hospital
LJvUBIpAfxA,5,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an GRA PHC
MUq9oPoC0hr,2,GF_Number of People Tested HIV Positive & Received Results - ANC,2025-10-09,an Ukpo Comprehensive Health Centre
YDYCfFc8ndK,5,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an Pater Noster Hospital Awka
Sya1xqHhCCO,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-08,an Our Lady of Lourdes Hospital
qtDvX43LURH,1,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-06,an Akwaeze Community Reproductive Referral Health Centre
Ha1Uxfwnmwq,19,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-01,an Rock Foundation Hospital
msr1TOXqZKf,14,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an St Charles Borromeo Hospital
YDYCfFc8ndK,5,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-07,an Pater Noster Hospital Awka
qtDvX43LURH,2,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-08,an Akwaeze Community Reproductive Referral Health Centre
TGJMCAUNXD5,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-07,an Bethel Hospital Awada
Sya1xqHhCCO,14,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-01,an Our Lady of Lourdes Hospital
Sya1xqHhCCO,6,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Our Lady of Lourdes Hospital
TGJMCAUNXD5,4,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-07,an Bethel Hospital Awada
ZSSbDRTZ6CX,20,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-09,an St. Patricks Hospital and Maternity
JnK78IWxALr,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-08,"an Nworah Hilltop Hospital & Maternity, Ugwu Tank, Amawbia"
ENi2yTYsiwn,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Holy Spirit Primary Health Centre
ZSSbDRTZ6CX,14,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-07,an St. Patricks Hospital and Maternity
ZSSbDRTZ6CX,4,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-06,an St. Patricks Hospital and Maternity
MUq9oPoC0hr,20,GF_Number of Clients tested HIV Positive (From Rat) - OPD,2025-10-09,an Ukpo Comprehensive Health Centre
xdRG6eDxhaR,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an Chidubem Hospital and Maternity Okpuno Awka
OoBxXYn1eoy,57,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-08,an Nnamdi Azikiwe University Teaching Hospital
OoBxXYn1eoy,60,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Nnamdi Azikiwe University Teaching Hospital
Lc0UxCUN8HR,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-07,an Neni Comprehensive Health Centre NAUTH
OoBxXYn1eoy,30,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-02,an Nnamdi Azikiwe University Teaching Hospital
Sya1xqHhCCO,10,GF_Number of AGYW counseled tested and received result- Community,2025-10-01,an Our Lady of Lourdes Hospital
Sya1xqHhCCO,50,GF_Number of AGYW counseled tested and received result- Community,2025-10-09,an Our Lady of Lourdes Hospital
msr1TOXqZKf,32,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an St Charles Borromeo Hospital
TaFHmyxBqR7,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Awka-Etiti II Primary Health Centre
Vli5C2SFWrh,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Omor PrimaryHealth Centre
kIt9h1ZjQfF,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-07,an Amansea Primary Health Centre
d6ugp5puEZ2,1,GF_Number of People Tested HIV Positive & Received Results - ANC,2025-10-09,an Nteje Primary Health Centre
JnK78IWxALr,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-02,"an Nworah Hilltop Hospital & Maternity, Ugwu Tank, Amawbia"
JnK78IWxALr,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,"an Nworah Hilltop Hospital & Maternity, Ugwu Tank, Amawbia"
msr1TOXqZKf,23,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-06,an St Charles Borromeo Hospital
ZSSbDRTZ6CX,4,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an St. Patricks Hospital and Maternity
xdRG6eDxhaR,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-06,an Chidubem Hospital and Maternity Okpuno Awka
lJi4pRQnIsT,6,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an St Anthony Maternity Hospital
DasDyIPK8jQ,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Umuezeanam 2 Primary Health Centre
OKPZ7SmaYwP,1,GF_Number of People Tested HIV Positive & Received Results - CT,2025-10-10,an Immaculate Heart Hospital (Nkpor)
cHTHLQECBHb,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Enugwu Aguleri Primary Health Center
Ha1Uxfwnmwq,15,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-06,an Rock Foundation Hospital
TNwOSX6UfCW,6,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Umudeze Primary Health Centre
qs0jtVhDtUn,5,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Our Lady's of Fatima Woliwo Health Post
MUq9oPoC0hr,9,GF_Number of Individuals Who Received HIV Testing Services (HTS) and Received Their Test Results - Other PITC,2025-10-10,an Ukpo Comprehensive Health Centre
Ha1Uxfwnmwq,7,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-08,an Rock Foundation Hospital
mQpnj5bT6HS,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Christ Church Primary Health Center
t8NuQiiDWb6,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Okpuno Otolo Primary Health Centre
Ha1Uxfwnmwq,13,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an Rock Foundation Hospital
Sya1xqHhCCO,17,GF_Number of AGYW counseled tested and received result- Community,2025-10-03,an Our Lady of Lourdes Hospital
PeMBbhCoe0d,30,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an Umunze General Hospital
vCsPrXuITbJ,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Osamala Primary Health Center
IA64rosyhK1,10,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-08,an Enugu Ukwu General Hospital
yjxtvOYtp5A,18,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-10,an Ukpor General Hospital
H2vA8qHohf5,11,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Ogbunka Primary Health Centre
BXOxuU6KIk2,5,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,"an St. Joseph Hospital and Maternity, Ifite Ogwari"
wM3b4l8Oesq,3,GF_Number of Individuals Who Received HIV Testing Services (HTS) and Received Their Test Results - Other PITC,2025-10-07,an Onitsha General Hospital
dtfYfdMxpyO,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Umerum Primary Health Centre
bVDmQU3reY0,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-02,an Patricia Memorial Hospital and Maternity Aka baby
SaEp4uCoKLh,6,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Okika Maternity
OKPZ7SmaYwP,6,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-01,an Immaculate Heart Hospital (Nkpor)
dIgVADaXOoP,2,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - Blood Bank,2025-10-09,an Nnewi Diocesan Hospital
JOocbzN2dq7,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-06,an Umuokpu Primary Health Centre
OKPZ7SmaYwP,5,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-03,an Immaculate Heart Hospital (Nkpor)
k4Nw4uCT97V,50,GF_Number of AGYW counseled tested and received result- Community,2025-10-10,an Umunya Comprehensive Health Centre
p7CKerD8kRp,10,GF_Number of People Tested HIV Positive & Received Results - CT,2025-10-08,an Oba Comprehensive Health Centre (Trauma Centre)
pxYOOPUXmtt,1,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-07,an Obosi St Martin's Hospital
lOzN4yw4pSh,6,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-08,an Madueke Memorial Hospital and Maternity
msr1TOXqZKf,1,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - Blood Bank,2025-10-08,an St Charles Borromeo Hospital
IA64rosyhK1,1,GF_Number of People Tested HIV Positive & Received Results - Other PITC,2025-10-06,an Enugu Ukwu General Hospital
bVDmQU3reY0,6,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-08,an Patricia Memorial Hospital and Maternity Aka baby
OKPZ7SmaYwP,13,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-09,an Immaculate Heart Hospital (Nkpor)
xdRG6eDxhaR,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-01,an Chidubem Hospital and Maternity Okpuno Awka
pxYOOPUXmtt,5,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Obosi St Martin's Hospital
pxYOOPUXmtt,6,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-10,an Obosi St Martin's Hospital
XsnL6NMMrlI,10,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-07,an Ideani Primary Health Center
QqXS3kwHLkP,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Ifite Awkuzu Primary Health Centre
msr1TOXqZKf,7,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - Blood Bank,2025-10-06,an St Charles Borromeo Hospital
B5PbcJXLP9z,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Lilu Primary Health Centre
Lc0UxCUN8HR,1,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-08,an Neni Comprehensive Health Centre NAUTH
NzwdCUPjLKM,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-07,an Trinitas International Hospital Umuchukwu
lOzN4yw4pSh,2,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-02,an Madueke Memorial Hospital and Maternity
gPw7wgxVzba,1,GF_Number of Clients tested HIV Positive (From Rat) - OPD,2025-10-01,an St Felix Hospital and Maternity
IX2qlVptNql,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-01,an Onitsha Pieta Hospital
Z58LnooMrl1,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-06,an Nnobi General Hospital
yjxtvOYtp5A,25,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-01,an Ukpor General Hospital
ElMyEZ6ECq9,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-07,an Madonna Hospital Awka
IwQUgEBiiYB,9,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Ogboji Primary Health Centre
miQ5RVnWC0K,3,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-06,an Eziowelle Primary Health Centre
d6ugp5puEZ2,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-09,an Nteje Primary Health Centre
yjxtvOYtp5A,26,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-07,an Ukpor General Hospital
MUq9oPoC0hr,4,GF_Number of Individuals Who Received HIV Testing Services (HTS) and Received Their Test Results - Other PITC,2025-10-06,an Ukpo Comprehensive Health Centre
IX2qlVptNql,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-07,an Onitsha Pieta Hospital
IX2qlVptNql,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-09,an Onitsha Pieta Hospital
e2t30fu3vAw,4,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-09,an All Hallows Hospital and Maternity
PeMBbhCoe0d,25,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Umunze General Hospital
hkgcJhWm5cK,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Accucare Foundation Hospital
MsWUEiTxyht,5,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-06,an Ogbunike Primary Health Centre
IA64rosyhK1,4,GF_Number of Individuals Who Received HIV Testing Services (HTS) and Received Their Test Results - Other PITC,2025-10-08,an Enugu Ukwu General Hospital
OoBxXYn1eoy,11,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - In-Patient,2025-10-09,an Nnamdi Azikiwe University Teaching Hospital
V0K20ejw5vr,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Oroma Etiti Primary Health Center
I6Xcx9875kJ,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-10,an Ifite Primary Health Centre
kIt9h1ZjQfF,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Amansea Primary Health Centre
sjeTS3oSial,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Eziani Ihiala Primary Health Centre
Qj5adNgRgcZ,8,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Akwa Primary Health Centre
fzYRxCwtQf2,6,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Akamili Primary Health Clinic
yjxtvOYtp5A,37,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-09,an Ukpor General Hospital
QppIbUI9E92,4,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Ozala Isuofia Primary Health Centre
pxYOOPUXmtt,4,GF_Number of Individuals Who Received HIV Testing Services (HTS) and Received Their Test Results - Other PITC,2025-10-08,an Obosi St Martin's Hospital
BXOxuU6KIk2,10,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-07,"an St. Joseph Hospital and Maternity, Ifite Ogwari"
sjeTS3oSial,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-09,an Eziani Ihiala Primary Health Centre
Df8G53YKehw,9,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Akili Ozizor Primary Health Centre
k4Nw4uCT97V,20,GF_Number of AGYW counseled tested and received result- Community,2025-10-07,an Umunya Comprehensive Health Centre
eJfBtjef8cQ,3,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Basic Health Centre Onitsha
MUq9oPoC0hr,2,GF_Number of Individuals Who Received HIV Testing Services (HTS) And Received Their Test Results - Blood Bank,2025-10-10,an Ukpo Comprehensive Health Centre
IEKVnEePZLN,14,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Iyi-Enu Hospital
NctJwmp66Nw,3,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Odekpe Primary Health Center
Csj8K86dI08,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Umuogbuefi  PrimaryHealth Center
ElMyEZ6ECq9,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-09,an Madonna Hospital Awka
x8kegIarjSt,4,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-07,an Amansea Health Post
s4ZDSr4IBSr,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-01,an St. Marks Primary Health Centre
xallQX8HUeS,4,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-09,an Maranatha Caring Mission Hospital
ixhlUJXZQl3,5,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Awkuzu Primary Health Centre
zhMuFPbxUZS,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-07,an Dike Medical Centre
wM3b4l8Oesq,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-07,an Onitsha General Hospital
IX2qlVptNql,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-06,an Onitsha Pieta Hospital
p7CKerD8kRp,25,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-07,an Oba Comprehensive Health Centre (Trauma Centre)
p7CKerD8kRp,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-02,an Oba Comprehensive Health Centre (Trauma Centre)
dBES5aQviuh,1,GF_Number of KPs tested HIV positive and received result,2025-10-06,"an Anambra State One Stop Shop (OSS) Site, Awka"
Z58LnooMrl1,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-01,an Nnobi General Hospital
zhMuFPbxUZS,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-02,an Dike Medical Centre
DouiDIYUwpD,2,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an Akwaihedi Primary Health Centre
MUq9oPoC0hr,20,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-09,an Ukpo Comprehensive Health Centre
YzuXkd7MRFN,1,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Obuno Ebenebe Health Post
NzwdCUPjLKM,3,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Trinitas International Hospital Umuchukwu
akw2O5cpDNP,5,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Okpuno Primary Health Centre
HqwDi1gXzB7,1,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-06,an Awba Offemmili Primary Health Centre
CLrRC2NZAR9,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Ogboro Primary Health Centre
AKfQkUjVHEK,22,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an St. John Anglican Primary Health Centre
MsWUEiTxyht,7,GF_Number of Individuals Who Received HIV Testing Services (Hts) And Received Their Test Results - CT,2025-10-02,an Ogbunike Primary Health Centre
y4dTAIa0QOQ,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-03,an Umudara Primary Health Centre
mKYIhwM6HUb,2,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-02,an Ichida II Primary Health Centre
IEKVnEePZLN,13,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-07,an Iyi-Enu Hospital
d6ugp5puEZ2,1,GF_Number of Pregnant Women Who Received HIV Testing Services (Hts) And Received Their Test Results - ANC,2025-10-06,an Nteje Primary Health Centre
zGZjhpdrOde,9,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-03,an Emmanuel Church Primary Health Centre
ySBhaLN97hO,16,GF_Number of Clients Screened and Tested for HIV  (Rat) - OPD,2025-10-10,an St. Raphael Hospital Nkwelle Ezunaka
